iter	Logloss
0	0.6757434502
1	0.659046914
2	0.6396746428
3	0.6232825874
4	0.6075842849
5	0.5941519033
6	0.5815216557
7	0.5691977587
8	0.5580661359
9	0.5479535823
10	0.539608952
11	0.5311213274
12	0.5245255613
13	0.5167279886
14	0.5106197115
15	0.5040169195
16	0.4992174184
17	0.4949310342
18	0.4897051959
19	0.4847234119
20	0.4803230849
21	0.4760358326
22	0.4721424259
23	0.4687670865
24	0.4653778409
25	0.4626046541
26	0.4601133746
27	0.4575951546
28	0.4554958231
29	0.4524628386
30	0.4506188034
31	0.4487542965
32	0.4468726908
33	0.4449021052
34	0.4427210976
35	0.4409811579
36	0.4395547021
37	0.4381862428
38	0.4368357394
39	0.4358301953
40	0.4347784838
41	0.4336079876
42	0.4325279464
43	0.4314385948
44	0.4304609176
45	0.4295171413
46	0.4287396133
47	0.4278098391
48	0.4270782243
49	0.4262796317
50	0.4255768806
51	0.4245106176
52	0.4237000165
53	0.4231315692
54	0.4226091655
55	0.422126295
56	0.4215736354
57	0.4208633304
58	0.42034725
59	0.4198275644
60	0.4194761196
61	0.4189837131
62	0.4185201375
63	0.4179679515
64	0.4177869426
65	0.4174097332
66	0.4170662867
67	0.4167330285
68	0.4165320725
69	0.416295136
70	0.4160354469
71	0.4158278609
72	0.4156301023
73	0.4155300138
74	0.4151977732
75	0.4147836502
76	0.4145603582
77	0.4142123964
78	0.4139214403
79	0.4136663408
80	0.4131702053
81	0.4129340042
82	0.4126653063
83	0.4123318218
84	0.4120923164
85	0.4119344263
86	0.4116642035
87	0.4114515698
88	0.4111802782
89	0.4111206271
90	0.4108661656
91	0.4106787439
92	0.4104033489
93	0.4103152168
94	0.4101148585
95	0.4099822601
96	0.409678185
97	0.409538685
98	0.4092410835
99	0.4089692307
100	0.4089184698
101	0.4086356867
102	0.4084585181
103	0.4082173687
104	0.408079371
105	0.407945053
106	0.4079125162
107	0.407804754
108	0.4075964579
109	0.4075007723
110	0.4073117045
111	0.4071198257
112	0.4069265317
113	0.4068392183
114	0.4067231335
115	0.4065733127
116	0.4063457481
117	0.4061658214
118	0.4060855443
119	0.4060593911
120	0.4058787043
121	0.4056648243
122	0.4055055955
123	0.4054513022
124	0.405231724
125	0.4051338656
126	0.4050870702
127	0.404956545
128	0.4048006478
129	0.4047007043
130	0.4046438555
131	0.4045209755
132	0.4044173766
133	0.4043905379
134	0.4042932871
135	0.4042618451
136	0.4042225312
137	0.4041505278
138	0.4040951392
139	0.40405703
140	0.4040293224
141	0.4039532014
142	0.4038912667
143	0.4038358888
144	0.4038061648
145	0.4037764709
146	0.4037518328
147	0.4036040987
148	0.4035907157
149	0.403516676
150	0.4034485049
151	0.403328066
152	0.403280005
153	0.4031757342
154	0.4030359438
155	0.402894559
156	0.4028530262
157	0.4027999777
158	0.4027254835
159	0.4027053375
160	0.4025993593
161	0.4025034105
162	0.4024594644
163	0.4024140811
164	0.4024115315
165	0.4023672991
166	0.4022744326
167	0.4022562108
