iter	Logloss
168	0.4022299121
169	0.4020100135
170	0.4019001957
171	0.401883372
172	0.4018463799
173	0.4017890943
174	0.401693611
175	0.4015742831
176	0.4014914084
177	0.401334987
178	0.4012950889
179	0.401128458
180	0.4010503546
181	0.4010199537
182	0.4009563935
183	0.40089293
184	0.4008226104
185	0.400808171
186	0.4007364869
187	0.4006432319
188	0.4006251459
189	0.4005916806
190	0.4005417072
191	0.4005412127
192	0.4005382446
193	0.4004451352
194	0.4003480332
195	0.4003255215
196	0.4003014476
197	0.4002831561
198	0.4002491775
199	0.4001818461
200	0.4001050295
201	0.400060764
202	0.4000542345
203	0.4000173196
204	0.3999606244
205	0.3999494431
206	0.3998711737
207	0.3997919959
208	0.399788662
209	0.3997404685
210	0.399690924
211	0.3995877032
212	0.3995354702
213	0.3994599641
214	0.3993342575
215	0.3992857322
216	0.3992641085
217	0.3992318874
218	0.3991970249
219	0.3991381597
220	0.3991239876
221	0.3990841318
222	0.3990774021
223	0.3990461339
224	0.3990273201
225	0.398953691
226	0.3988572456
227	0.3988451905
228	0.3987787069
229	0.3987399123
230	0.3986381784
231	0.3985758433
232	0.3985522423
233	0.3984938265
234	0.3983783539
235	0.3982551475
236	0.3981020707
237	0.3980826205
238	0.3979030611
239	0.3978828981
240	0.3977970349
241	0.3977368648
242	0.3976825035
243	0.3976528471
244	0.3976431292
245	0.3975318852
246	0.3974308793
247	0.397304044
248	0.3972758192
249	0.3972203516
250	0.3971360937
251	0.3970919995
252	0.3969249398
253	0.3968848485
254	0.3968594594
255	0.3967436838
256	0.3966832106
257	0.3965934944
258	0.3965651875
259	0.3965305102
260	0.3965215582
261	0.3964589927
262	0.396416374
263	0.3963837624
264	0.396267599
265	0.3962258128
266	0.3962229903
267	0.3962026136
268	0.3961792386
269	0.3961114276
270	0.3959523627
271	0.3958774911
272	0.3957876469
273	0.3957659785
274	0.395699932
275	0.39560912
276	0.3955633676
277	0.395470368
278	0.3954550069
279	0.3954528992
280	0.3953347988
281	0.3952678931
282	0.3951700282
283	0.3951452642
284	0.3950970988
285	0.3950405871
286	0.3949329562
287	0.394893019
288	0.3947149327
289	0.3946984427
290	0.3946312748
291	0.3946182021
292	0.394603873
293	0.3945949829
294	0.394582838
295	0.3944908313
296	0.3944411976
297	0.3944233416
298	0.3943879899
299	0.3942368797
300	0.3941071524
301	0.3940055192
302	0.3939467004
303	0.3939359495
304	0.393904429
305	0.3938910127
306	0.3938883298
307	0.3938142472
308	0.3937597474
309	0.3937426281
310	0.3937205752
311	0.393714243
312	0.3935623133
313	0.3934424129
314	0.3933822497
315	0.3933703182
316	0.3933501677
317	0.3933487742
318	0.3932826809
319	0.3932138633
320	0.3931144655
321	0.3930942249
322	0.3930720131
323	0.3930183621
324	0.392955921
325	0.392813633
326	0.3927943764
327	0.392694746
328	0.3926635334
329	0.3926485159
330	0.3925529348
331	0.3925300489
332	0.3924842688
333	0.3923294184
334	0.3923269331
335	0.3923176079
336	0.3922277612
337	0.3920775679
338	0.3920634668
339	0.3919668848
340	0.3919260698
341	0.3917841222
342	0.3917807767
343	0.3917381873
344	0.3917352155
345	0.391672914
346	0.3915380077
347	0.3915229422
348	0.3915023784
349	0.3914327601
350	0.3913889561
351	0.3913707642
352	0.3913136141
353	0.3912781596
354	0.3912642085
355	0.391237589
356	0.391223076
357	0.3912099056
358	0.3912058893
359	0.3912002598
360	0.3911798835
361	0.3910378782
362	0.3910234676
363	0.3909925925
364	0.3909896006
365	0.3909031723
366	0.3908855953
367	0.3908664062
368	0.3907420774
369	0.3906654608
370	0.3905839779
371	0.3904535275
372	0.3904433293
373	0.3903102971
374	0.3902734087
375	0.390258609
376	0.3901378992
377	0.3900170946
378	0.3899674286
379	0.3899589711
380	0.3899425303
381	0.3899374736
382	0.3899095107
383	0.3898677408
384	0.3898291491
385	0.3898107988
386	0.3897980228
387	0.3897839495
388	0.3897820611
389	0.3897734499
390	0.3897478117
391	0.3897226585
392	0.3896562372
393	0.389648476
394	0.3896250641
395	0.3895926031
396	0.3895820281
397	0.3895208726
398	0.3895126825
399	0.389439142
400	0.3894381063
401	0.3893852847
402	0.3892205399
403	0.3892180669
404	0.3891960444
405	0.3891791315
406	0.389108334
407	0.389039881
408	0.3890232997
409	0.3890208838
410	0.3889853623
411	0.3889774857
412	0.3889611206
413	0.3888976979
414	0.3888351207
415	0.388731008
416	0.388645667
417	0.3885529926
418	0.3885417829
419	0.388535248
420	0.3884902156
421	0.3884283342
422	0.3883996494
423	0.3883698217
424	0.3882307679
425	0.3882206235
426	0.3882044143
427	0.3881762254
428	0.38815803
429	0.3881190172
430	0.38803579
431	0.3879443982
432	0.3879358938
433	0.3878687545
434	0.3878534473
435	0.387848752
436	0.3878413261
437	0.3877625057
438	0.3876330379
439	0.387606475
440	0.3875855033
441	0.3875200206
442	0.3874855047
443	0.3874708283
444	0.3873248751
445	0.3873098569
446	0.387308957
447	0.3872948818
448	0.3872887636
449	0.3872834815
450	0.3872634698
451	0.3872571177
452	0.3872363906
453	0.3871745922
454	0.3871481158
455	0.3871327487
456	0.3870879498
457	0.3870466433
458	0.3870428897
459	0.3869658654
460	0.3869091845
461	0.386848961
462	0.3868470197
463	0.3868007287
464	0.3866897881
465	0.3866656122
466	0.3866519634
467	0.386601988
468	0.3865505822
469	0.3865323232
470	0.3865115311
471	0.3864943578
472	0.3864862347
473	0.3864360664
474	0.3863891751
475	0.3862834945
476	0.386261646
477	0.3862225866
478	0.3862084669
479	0.386157357
480	0.3861370581
481	0.3861088034
482	0.3861074573
483	0.3860817528
484	0.3860257278
485	0.3859925477
486	0.385973362
487	0.3859699752
488	0.385899778
489	0.3858811435
490	0.3858435991
491	0.3857996722
492	0.3857864404
493	0.3857715632
494	0.3857169796
495	0.3857005742
496	0.3856850784
497	0.3856397833
498	0.3856347885
499	0.3856286353
