iter	Passed	Remaining
407	5445	1227
408	5458	1214
409	5470	1200
410	5484	1187
411	5497	1174
412	5510	1160
413	5523	1147
414	5536	1133
415	5549	1120
416	5562	1107
417	5575	1093
418	5587	1080
419	5600	1066
420	5613	1053
421	5625	1039
422	5640	1026
423	5653	1013
424	5668	1000
425	5683	987
426	5697	974
427	5711	960
428	5725	947
429	5739	934
430	5752	920
431	5766	907
432	5781	894
433	5794	881
434	5808	867
435	5821	854
436	5834	841
437	5847	827
438	5860	814
439	5872	800
440	5885	787
441	5897	773
442	5910	760
443	5923	747
444	5940	734
445	5953	720
446	5966	707
447	5979	694
448	5992	680
449	6005	667
450	6017	653
451	6030	640
452	6044	627
453	6057	613
454	6070	600
455	6084	587
456	6096	573
457	6109	560
458	6122	546
459	6135	533
460	6148	520
461	6162	506
462	6175	493
463	6188	480
464	6201	466
465	6214	453
466	6227	440
467	6240	426
468	6253	413
469	6267	400
470	6280	386
471	6293	373
472	6306	359
473	6319	346
474	6331	333
475	6344	319
476	6357	306
477	6370	293
478	6382	279
479	6395	266
480	6407	253
481	6420	239
482	6433	226
483	6446	213
484	6459	199
485	6472	186
486	6484	173
487	6497	159
488	6510	146
489	6523	133
490	6535	119
491	6548	106
492	6561	93
493	6574	79
494	6587	66
495	6600	53
496	6613	39
497	6626	26
498	6639	13
499	6652	0
